skill,junior,middle,senior,unknown,total
OWASP MASVS,0,3,0,0,3
Fuzzing,1,2,0,0,3
C/C++,1,1,1,0,3
B2B Продажи,2,1,0,0,3
Навыки презентации,1,1,1,0,3
ASP.NET,0,2,1,0,3
Scrum,0,2,1,0,3
JSON API,3,0,0,0,3
.NET Core,1,1,1,0,3
KVM,0,2,1,0,3
DNS,0,3,0,0,3
Виртуализация,1,1,1,0,3
Тестирование безопасности,2,1,0,0,3
Cookies,1,1,1,0,3
Atlassian Confluence,0,1,2,0,3
Технические средства информационной защиты,1,0,2,0,3
Kotlin,1,2,0,0,3
Интеграционное тестирование,1,2,0,0,3
Android,2,1,0,0,3
Управление проектами,1,1,1,0,3
Swagger,0,2,1,0,3
Разработка технических заданий,2,0,1,0,3
Аналитическое мышление,2,0,1,0,3
ORACLE,0,3,0,0,3
Laravel,1,2,0,0,3
Техническое обслуживание,0,3,0,0,3
Ведение документации,2,1,0,0,3
Ubuntu,2,0,1,0,3
C#,0,1,2,0,3
Техническая поддержка пользователей,2,1,0,0,3
Настройка ПК,2,1,0,0,3
Разработка ПО,2,0,1,0,3
Работа в команде,3,0,0,0,3
Пассажирские перевозки,0,2,1,0,3
Безопасное маневрирование,0,2,1,0,3
Apache Maven,1,1,1,0,3
MongoDB,0,2,1,0,3
Активные продажи,2,1,0,0,3
Django Framework,1,1,1,0,3
Figma,1,2,0,0,3
Пользователь ПК,3,0,0,0,3
Системный анализ,1,2,0,0,3
BPMN,0,2,1,0,3
Администрирование сетевого оборудования,0,3,0,0,3
ООП,1,1,0,0,2
OWASP WSTG,1,1,0,0,2
Уязвимости защиты,1,1,0,0,2
Работа с клиентами,1,1,0,0,2
Управление требованиями,0,2,0,0,2
SCA/OSA,0,2,0,0,2
ELK,0,1,1,0,2
MFA,0,0,2,0,2
Публичные выступления,0,1,1,0,2
Сетевые протоколы,0,2,0,0,2
HTML5,1,1,0,0,2
Анализ данных,2,0,0,0,2
Debian,0,2,0,0,2
OpenStack,0,2,0,0,2
MS Office,2,0,0,0,2
ISO 27001,2,0,0,0,2
Настройка почтовых серверов,1,1,0,0,2
Обеспечение антивирусной защиты,0,2,0,0,2
CCNA,0,2,0,0,2
VipNet,0,2,0,0,2
Flask,1,0,1,0,2
Системы безопасности,1,0,1,0,2
Yandex Cloud,1,1,0,0,2
Администрирование,0,2,0,0,2
SSL/TLS,0,1,1,0,2
HTTPS,0,2,0,0,2
Разработка бизнес-требований,0,2,0,0,2
Hyper-V,0,2,0,0,2
Сбор и анализ информации,2,0,0,0,2
Spring Boot,1,0,1,0,2
Swift,1,1,0,0,2
Android Studio,1,1,0,0,2
Test case,1,1,0,0,2
Кроссбраузерное тестирование,1,1,0,0,2
Helpdesk,1,1,0,0,2
Smoke-тестирование,1,1,0,0,2
Анализ рисков,1,1,0,0,2
Нагрузочное тестирование,0,2,0,0,2
Руководство коллективом,1,1,0,0,2
Средства криптографической защиты информации,1,0,1,0,2
RSA,0,2,0,0,2
OSINT,1,0,1,0,2
LLM,0,2,0,0,2
VPN,0,2,0,0,2
Citrix,0,2,0,0,2
TeamCity,1,1,0,0,2
Автоматизация,2,0,0,0,2
Умение работать в коллективе,1,1,0,0,2
Проектная документация,1,1,0,0,2
5 группа по электробезопасности,1,1,0,0,2
iOS,1,0,1,0,2
Регресcионное тестирование,1,1,0,0,2
Техническая документация,2,0,0,0,2
Windows,1,0,1,0,2
Электрические системы и слаботочные системы,1,0,1,0,2
ETL,0,1,1,0,2
1С,0,2,0,0,2
Transact-SQL,1,1,0,0,2
OLAP,0,1,1,0,2
Оптимизация бизнес-процессов,1,0,1,0,2
Установка ПО,1,1,0,0,2
Настройка ПО,1,1,0,0,2
Консультирование клиентов по телефону,2,0,0,0,2
Backend,1,1,0,0,2
MS Exchange,0,2,0,0,2
GraphQL,1,1,0,0,2
Vue.js,0,2,0,0,2
Клиентоориентированность,2,0,0,0,2
Документальное сопровождение,2,0,0,0,2
Работа с документами,2,0,0,0,2
Консультирование клиентов,1,1,0,0,2
Работа с оргтехникой,1,1,0,0,2
Ориентация по карте,1,1,0,0,2
Автомобильные перевозки,1,1,0,0,2
Графический дизайн,1,1,0,0,2
Material Design,1,1,0,0,2
UX,1,1,0,0,2
Грамотная устная и письменная речь,2,0,0,0,2
Умение работать с людьми,2,0,0,0,2
Spring,0,0,2,0,2
Бизнес-анализ,0,2,0,0,2
Docker-compose,0,2,0,0,2
Вождение автомобилей представительского класса,0,2,0,0,2
Исполнительность,2,0,0,0,2
Ответственность,2,0,0,0,2
Project management,2,0,0,0,2
Анализ требований,1,1,0,0,2
TDD,0,2,0,0,2
UML,0,1,1,0,2
Алгоритмы и структуры данных,0,1,0,0,1
R&D,0,1,0,0,1
OSA,1,0,0,0,1
OS Linux,1,0,0,0,1
Сети,1,0,0,0,1
Vulnerability assessment,1,0,0,0,1
AWS,0,0,1,0,1
Рекрутмент,1,0,0,0,1
Подбор персонала,1,0,0,0,1
bug bounty,0,1,0,0,1
red team,0,1,0,0,1
OWASP TOP10,1,0,0,0,1
Стратегические продажи,0,1,0,0,1
Управление продажами,0,1,0,0,1
SAST/DAST,0,1,0,0,1
CSA,0,1,0,0,1
osa,0,1,0,0,1
Qt,0,1,0,0,1
WEB пентестера,0,1,0,0,1
BugBounty,0,1,0,0,1
K8S,0,1,0,0,1
фаззинг,0,1,0,0,1
статический анализ,0,1,0,0,1
Сканеры безопасности,0,1,0,0,1
NIST,0,1,0,0,1
динамический анализ,0,1,0,0,1
ФСТЭК,0,1,0,0,1
Сетевая атака,0,1,0,0,1
VS CSE,0,0,1,0,1
k8s,0,0,1,0,1
Архитектура ИБ,0,0,1,0,1
OWASP ASVS,0,1,0,0,1
Application security,1,0,0,0,1
Bug Tracker,1,0,0,0,1
treat modelling,1,0,0,0,1
Безопасность,1,0,0,0,1
Secrets detection,0,1,0,0,1
security quality gates,0,1,0,0,1
ASP.NET Core,0,1,0,0,1
jQuery,1,0,0,0,1
Ajax,1,0,0,0,1
CSS3,1,0,0,0,1
Web Application Development,1,0,0,0,1
Websocket,1,0,0,0,1
киберзащита,1,0,0,0,1
PTAF,1,0,0,0,1
DPI,1,0,0,0,1
высоконагруженный,1,0,0,0,1
DDOS,1,0,0,0,1
UTM,1,0,0,0,1
уязвимость,1,0,0,0,1
Wallarm,1,0,0,0,1
Управление качеством,1,0,0,0,1
.NET Framework,1,0,0,0,1
MS Visual Studio,1,0,0,0,1
OSI,0,1,0,0,1
Ubuntu Server,0,1,0,0,1
VLAN,0,1,0,0,1
OpenShift,0,1,0,0,1
L3 VPN,0,1,0,0,1
L2 VPN,0,1,0,0,1
Asterisk,0,1,0,0,1
Customer Service,1,0,0,0,1
Ведение переписки на иностранном языке,1,0,0,0,1
Административная поддержка руководителя,1,0,0,0,1
Тайм-менеджмент,1,0,0,0,1
Кассовые чеки,1,0,0,0,1
Расчетно-кассовое обслуживание физических лиц,1,0,0,0,1
Управление отношениями с клиентами,1,0,0,0,1
Кассовые документы,1,0,0,0,1
Кассовые операции,1,0,0,0,1
Работа с кассой,1,0,0,0,1
Web pentest,1,0,0,0,1
Grey box testing,1,0,0,0,1
White box testing,1,0,0,0,1
Black box testing,1,0,0,0,1
Red Teaming,1,0,0,0,1
Penetration testing,1,0,0,0,1
Межсетевые экраны,0,1,0,0,1
tRPC,0,0,1,0,1
Prisma,0,0,1,0,1
Fastify,0,0,1,0,1
Сетевая безопасность,0,1,0,0,1
IDS,1,0,0,0,1
SIEM (security information & event management),1,0,0,0,1
инциденты информационной безопасности,1,0,0,0,1
кибератаки,1,0,0,0,1
MaxPatrol,1,0,0,0,1
IPS,1,0,0,0,1
SQL/ NoSQL,0,0,1,0,1
AI/LLM Integration,0,0,1,0,1
Technical Leadership,0,0,1,0,1
Full Stack Development,0,0,1,0,1
Business English,0,0,1,0,1
Аналитик данных,0,1,0,0,1
Бизнес-аналитика,0,1,0,0,1
ИБ,0,1,0,0,1
BISO,0,1,0,0,1
Технические системы и средства безопасности,0,0,1,0,1
NTA,0,1,0,0,1
NGFW,0,1,0,0,1
Check Point,0,1,0,0,1
Прогнозирование,1,0,0,0,1
Математическая статистика,1,0,0,0,1
Статистический анализ,1,0,0,0,1
Теория вероятностей,1,0,0,0,1
Аналитика,1,0,0,0,1
ReactJS,0,0,1,0,1
MobX,0,0,1,0,1
RxJS,0,1,0,0,1
Objective-C,0,1,0,0,1
ML,0,0,1,0,1
Микросервисы,0,0,1,0,1
руководство командой разработчиков,0,0,1,0,1
TestRail,0,1,0,0,1
AOSP,0,1,0,0,1
Системное тестирование,1,0,0,0,1
Сквозное тестирование,1,0,0,0,1
Тестирование API,1,0,0,0,1
Кроссплатформенное тестирование,1,0,0,0,1
Sphinx,0,1,0,0,1
Системное мышление,0,1,0,0,1
Грамотная речь,0,1,0,0,1
Системы виртуализации,0,1,0,0,1
SSH,0,1,0,0,1
Управление знаниями,0,1,0,0,1
Windows Os,0,1,0,0,1
A/B тесты,0,1,0,0,1
Acceptance criteria,0,1,0,0,1
Стратегия тестирования,0,1,0,0,1
Стресс-тестирование,0,1,0,0,1
Sanity-тестирование,0,1,0,0,1
Исследовательское тестирование,0,1,0,0,1
Latex,0,1,0,0,1
Markdown,0,1,0,0,1
Разработка технической документации,0,1,0,0,1
windows,1,0,0,0,1
Web Server,1,0,0,0,1
jira,1,0,0,0,1
IIS,1,0,0,0,1
Service Desk,1,0,0,0,1
Cypress,0,1,0,0,1
Teamleading,0,0,1,0,1
Управление разработкой,0,0,1,0,1
Телеком,0,1,0,0,1
База данных: Oracle,0,0,1,0,1
Apache Tomcat,0,0,1,0,1
Podman,0,0,1,0,1
RxJava,0,1,0,0,1
Шифрование данных,0,1,0,0,1
QGIS,0,1,0,0,1
SDR-оборудование,0,1,0,0,1
Протоколы TLS,0,1,0,0,1
OpenStreetMap,0,1,0,0,1
Картографические SDK,0,1,0,0,1
multithreading,0,1,0,0,1
Coroutines,0,1,0,0,1
GIS-системы,0,1,0,0,1
KML,0,1,0,0,1
MapBox,0,1,0,0,1
ArcGIS,0,1,0,0,1
MapLibre,0,1,0,0,1
GeoJSON,0,1,0,0,1
AES,0,1,0,0,1
анализ защищенности,1,0,0,0,1
cyber security,1,0,0,0,1
анализ уязвимостей,1,0,0,0,1
redteam,1,0,0,0,1
CTF,1,0,0,0,1
Kali Linux,1,0,0,0,1
WEB приложения,1,0,0,0,1
Тестирование на проникновение,1,0,0,0,1
penetration test,1,0,0,0,1
Bugbounty,1,0,0,0,1
Пентест,1,0,0,0,1
Phidata,0,1,0,0,1
Plan-and-Execute,0,1,0,0,1
LangGraph,0,1,0,0,1
AI-агенты,0,1,0,0,1
LlamaIndex,0,1,0,0,1
LangChain,0,1,0,0,1
Agno,0,1,0,0,1
Настройка серверов,0,1,0,0,1
Team management,0,1,0,0,1
Написание автотестов,0,1,0,0,1
WebServers,0,1,0,0,1
Elasticsearch,0,0,1,0,1
CMake,1,0,0,0,1
BDD,1,0,0,0,1
ArchiCAD,1,0,0,0,1
Малоэтажное строительство,1,0,0,0,1
Энергетика,0,1,0,0,1
Умение планировать,0,1,0,0,1
Расстановка приоритетов,0,1,0,0,1
Пуско-наладочные работы,0,1,0,0,1
Контроль качества,0,1,0,0,1
Точность и внимательность к деталям,0,1,0,0,1
Производство пусконаладочных работ,0,1,0,0,1
Обеспечение техники безопасности,0,1,0,0,1
Ввод в эксплуатацию,0,1,0,0,1
Контроль исправности оборудования,1,0,0,0,1
Электрические сети,1,0,0,0,1
Ведение отчётности,1,0,0,0,1
Испытания электрооборудования,1,0,0,0,1
Диагностика неисправностей,1,0,0,0,1
Чтение электросхем,1,0,0,0,1
4 группа по электробезопасности,1,0,0,0,1
Электротехнические работы,1,0,0,0,1
PCI DSS,1,0,0,0,1
Amazon Web Services,1,0,0,0,1
gitlab ci/cd,0,1,0,0,1
IaC,0,1,0,0,1
SLI/SLO/SLA,0,1,0,0,1
Observability,0,1,0,0,1
Alertmanager,0,1,0,0,1
Инженерные системы,1,0,0,0,1
Контроль исполнения решений,1,0,0,0,1
NTLM,0,0,1,0,1
Kerberos,0,0,1,0,1
Testing,0,0,1,0,1
AutoCAD,1,0,0,0,1
Разработка проектной документации,1,0,0,0,1
Взаимодействие с заказчиком,1,0,0,0,1
Разработка рабочей документации,1,0,0,0,1
Знание нормативно-технической документации,1,0,0,0,1
Проектирование,1,0,0,0,1
Tableau,0,1,0,0,1
ИТ-архитектура,0,1,0,0,1
DWH,0,1,0,0,1
Power BI,0,1,0,0,1
Cognos,0,1,0,0,1
SaaS,0,1,0,0,1
Администрирование серверов Windows,0,1,0,0,1
Лидерство,0,0,1,0,1
Стратегическое мышление,0,0,1,0,1
Низкоуровневое программирование,1,0,0,0,1
MSSQL,0,0,1,0,1
Умение расставлять приоритеты,1,0,0,0,1
